Zeit;Temperatur;rF;Strahlung;Regen;Wind
0;-4.00;99.0;0;0.685;3.0
1;-3.90;99.0;0;0.685;3.0
2;-3.60;99.0;0;0.685;3.0
3;-3.12;99.0;0;0.685;3.0
4;-2.50;99.0;0;0.685;3.0
5;-1.78;99.0;0;0.685;3.0
6;-1.00;87.0;0;0.000;3.0
7;-0.22;85.7;9;0.000;3.0
8;0.50;84.5;18;0.000;3.0
9;1.12;83.5;25;0.000;3.0
10;1.60;82.7;30;0.000;3.0
11;1.90;82.2;34;0.000;3.0
12;2.00;82.0;35;0.000;3.0
13;1.90;82.2;34;0.000;3.0
14;1.60;82.7;30;0.000;3.0
15;1.12;83.5;25;0.000;3.0
16;0.50;84.5;18;0.000;3.0
17;-0.22;85.7;9;0.000;3.0
18;-1.00;87.0;0;0.000;3.0
19;-1.78;88.3;0;0.000;3.0
20;-2.50;89.5;0;0.000;3.0
21;-3.12;90.5;0;0.000;3.0
22;-3.60;91.3;0;0.000;3.0
23;-3.90;91.8;0;0.000;3.0
24;-4.00;92.0;0;0.000;3.0
25;-3.90;91.8;0;0.000;3.0
26;-3.60;91.3;0;0.000;3.0
27;-3.12;90.5;0;0.000;3.0
28;-2.50;89.5;0;0.000;3.0
29;-1.77;88.3;0;0.000;3.0
30;-1.00;87.0;0;0.000;3.0
31;-0.22;85.7;9;0.000;3.0
32;0.50;84.5;18;0.000;3.0
33;1.12;83.5;25;0.000;3.0
34;1.60;82.7;30;0.000;3.0
35;1.90;82.2;34;0.000;3.0
36;2.00;82.0;35;0.000;3.0
37;1.90;82.2;34;0.000;3.0
38;1.60;82.7;30;0.000;3.0
39;1.13;83.5;25;0.000;3.0
40;0.50;84.5;18;0.000;3.0
41;-0.22;85.7;9;0.000;3.0
42;-1.00;87.0;0;0.000;3.0
43;-1.77;88.3;0;0.000;3.0
44;-2.50;89.5;0;0.000;3.0
45;-3.12;90.5;0;0.000;3.0
46;-3.59;91.3;0;0.000;3.0
47;-3.89;91.8;0;0.000;3.0
48;-3.99;92.0;0;0.000;3.0
49;-3.89;91.8;0;0.000;3.0
50;-3.59;91.3;0;0.000;3.0
51;-3.11;90.5;0;0.000;3.0
52;-2.49;89.5;0;0.000;3.0
53;-1.77;88.3;0;0.000;3.0
54;-0.99;87.0;0;0.000;3.0
55;-0.22;85.7;9;0.000;3.0
56;0.51;84.5;18;0.000;3.0
57;1.13;83.5;25;0.000;3.0
58;1.61;82.7;30;0.000;3.0
59;1.91;82.2;34;0.000;3.0
60;2.01;82.0;35;0.000;3.0
61;1.91;82.2;34;0.000;3.0
62;1.61;82.7;30;0.000;3.0
63;1.13;83.5;25;0.000;3.0
64;0.51;84.5;18;0.000;3.0
65;-0.21;85.7;9;0.000;3.0
66;-0.99;87.0;0;0.000;3.0
67;-1.77;88.3;0;0.000;3.0
68;-2.49;89.5;0;0.000;3.0
69;-3.11;90.5;0;0.000;3.0
70;-3.59;91.3;0;0.000;3.0
71;-3.89;91.8;0;0.000;3.0
72;-3.99;92.0;0;0.000;3.0
73;-3.88;91.8;0;0.000;3.0
74;-3.58;91.3;0;0.000;3.0
75;-3.11;90.5;0;0.000;3.0
76;-2.49;89.5;0;0.000;3.0
77;-1.76;88.3;0;0.000;3.0
78;-0.99;87.0;0;0.000;3.0
79;-0.21;85.7;9;0.000;3.0
80;0.52;84.5;18;0.000;3.0
81;1.14;83.4;25;0.000;3.0
82;1.61;82.7;31;0.000;3.0
83;1.91;82.2;34;0.000;3.0
84;2.02;82.0;35;0.000;3.0
85;1.92;82.2;34;0.000;3.0
86;1.62;82.7;31;0.000;3.0
87;1.14;83.4;25;0.000;3.0
88;0.52;84.5;18;0.000;3.0
89;-0.20;85.7;9;0.000;3.0
90;-0.98;87.0;0;0.000;3.0
91;-1.76;88.3;0;0.000;3.0
92;-2.48;89.5;0;0.000;3.0
93;-3.10;90.5;0;0.000;3.0
94;-3.58;91.3;0;0.000;3.0
95;-3.88;91.8;0;0.000;3.0
96;-3.98;92.0;0;0.000;3.0
97;-3.87;91.8;0;0.000;3.0
98;-3.57;91.3;0;0.000;3.0
99;-3.10;90.5;0;0.000;3.0
100;-2.48;89.5;0;0.000;3.0
101;-1.75;88.3;0;0.000;3.0
102;-0.97;87.0;0;0.000;3.0
103;-0.20;85.7;9;0.000;3.0
104;0.53;84.5;18;0.000;3.0
105;1.15;83.4;25;0.000;3.0
106;1.63;82.6;31;0.000;3.0
107;1.93;82.1;34;0.000;3.0
108;2.03;82.0;35;0.000;3.0
109;1.93;82.1;34;0.000;3.0
110;1.63;82.6;31;0.000;3.0
111;1.15;83.4;25;0.000;3.0
112;0.53;84.5;18;0.000;3.0
113;-0.19;85.7;9;0.000;3.0
114;-0.97;87.0;0;0.000;3.0
115;-1.74;88.3;0;0.000;3.0
116;-2.47;89.5;0;0.000;3.0
117;-3.09;90.5;0;0.000;3.0
118;-3.56;91.3;0;0.000;3.0
119;-3.86;91.8;0;0.000;3.0
120;15.00;74.0;0;0.000;3.0
121;15.10;73.8;0;0.000;3.0
122;15.40;73.3;0;0.000;3.0
123;15.88;72.5;0;0.000;3.0
124;16.50;71.5;0;0.000;3.0
125;17.22;70.3;0;0.000;3.0
126;18.00;69.0;0;0.000;3.0
127;18.77;67.7;91;0.000;3.0
128;19.50;66.5;175;0.000;3.0
129;20.12;65.5;247;0.000;3.0
130;20.60;64.7;303;0.000;3.0
131;20.90;64.2;338;0.000;3.0
132;21.00;64.0;350;0.000;3.0
133;20.90;64.2;338;0.000;3.0
134;20.60;64.7;303;0.000;3.0
135;20.12;65.5;247;0.000;3.0
136;19.50;66.5;175;0.000;3.0
137;18.78;67.7;91;0.000;3.0
138;18.00;69.0;0;0.000;3.0
139;17.22;70.3;0;0.000;3.0
140;16.50;71.5;0;0.000;3.0
141;15.88;72.5;0;0.000;3.0
142;15.40;73.3;0;0.000;3.0
143;15.10;73.8;0;0.000;3.0
144;15.00;74.0;0;0.000;3.0
145;15.10;73.8;0;0.000;3.0
146;15.40;73.3;0;0.000;3.0
147;15.88;72.5;0;0.000;3.0
148;16.50;71.5;0;0.000;3.0
149;17.22;70.3;0;0.000;3.0
150;18.00;69.0;0;0.000;3.0
151;18.78;67.7;91;0.000;3.0
152;19.50;66.5;175;0.000;3.0
153;20.12;65.5;247;0.000;3.0
154;20.60;64.7;303;0.000;3.0
155;20.90;64.2;338;0.000;3.0
156;21.00;64.0;350;0.000;3.0
157;20.90;64.2;338;0.000;3.0
158;20.60;64.7;303;0.000;3.0
159;20.12;65.5;247;0.000;3.0
160;19.50;66.5;175;0.000;3.0
161;18.78;67.7;91;0.000;3.0
162;18.00;69.0;0;0.000;3.0
163;17.22;70.3;0;0.000;3.0
164;16.50;71.5;0;0.000;3.0
165;15.88;72.5;0;0.000;3.0
166;15.40;73.3;0;0.000;3.0
167;15.10;73.8;0;0.000;3.0
